date,amount,description,counterparty,currency
2025-07-01,-182.07,Digital Ocean ****8518,Digital Ocean,USD
2025-07-02,-1272.92,Facebook Ads ****2421,Facebook Ads,USD
2025-07-03,-247.31,Slack ****4159,Slack,USD
2025-07-07,-1016.79,Facebook Ads ****2044,Facebook Ads,USD
2025-07-10,-433.64,Microsoft 365 ****2943,Microsoft 365,USD
2025-07-11,3468.71,Check Payment,Check,USD
2025-07-11,-211.7,Slack ****3086,Slack,USD
2025-07-12,4936.21,Stripe Payment,Stripe,USD
2025-07-12,-388.61,Amazon Business ****1527,Amazon Business,USD
2025-07-13,-189.43,LinkedIn Sales Nav ****5516,LinkedIn Sales Nav,USD
2025-07-13,-56.96,Adobe Creative Cloud ****1550,Adobe Creative Cloud,USD
2025-07-13,-46.01,Amazon Business ****8191,Amazon Business,USD
2025-07-15,-344.91,LinkedIn Sales Nav ****9920,LinkedIn Sales Nav,USD
2025-07-17,-1172.81,Facebook Ads ****7184,Facebook Ads,USD
2025-07-18,-349.3,Digital Ocean ****9835,Digital Ocean,USD
2025-07-19,-205.16,Slack ****4762,Slack,USD
2025-07-20,2197.44,Stripe Payment,Stripe,USD
2025-07-20,2291.67,Wire Transfer Payment,Wire Transfer,USD
2025-07-20,4883.47,Check Payment,Check,USD
2025-07-20,5536.61,PayPal Payment,PayPal,USD
2025-07-20,-344.21,Zoom ****1797,Zoom,USD
2025-07-21,-161.37,AWS ****3948,AWS,USD
2025-07-22,4172.9,Square Payment,Square,USD
2025-07-23,-468.93,AWS ****2130,AWS,USD
2025-07-28,4998.89,Square Payment,Square,USD
2025-07-29,1630.62,PayPal Payment,PayPal,USD
2025-07-29,-421.54,Adobe Creative Cloud ****1372,Adobe Creative Cloud,USD
2025-07-30,-388.77,GitHub ****7887,GitHub,USD
2025-07-31,-224.14,Microsoft 365 ****1256,Microsoft 365,USD
