date,amount,description,counterparty,currency
2025-03-01,-253.72,Realtor.com ****8844,Realtor.com,USD
2025-03-01,-339.33,Vistaprint ****5644,Vistaprint,USD
2025-03-01,-187.77,FedEx ****8429,FedEx,USD
2025-03-03,-264.08,Matterport ****2925,Matterport,USD
2025-03-05,-106.02,DocuSign ****7730,DocuSign,USD
2025-03-08,-1775.85,Facebook Ads ****9489,Facebook Ads,USD
2025-03-11,-1262.52,Facebook Ads ****6544,Facebook Ads,USD
2025-03-13,-483.17,Dotloop ****1086,Dotloop,USD
2025-03-15,-400.04,DocuSign ****7246,DocuSign,USD
2025-03-15,-63.02,CoreLogic ****1618,CoreLogic,USD
2025-03-17,-550.41,Facebook Ads ****9364,Facebook Ads,USD
2025-03-19,-407.19,Office Depot ****2600,Office Depot,USD
2025-03-20,-122.57,FedEx ****6175,FedEx,USD
2025-03-21,-881.78,Google Ads ****4809,Google Ads,USD
2025-03-21,-114.78,MLS Cincinnati ****1116,MLS Cincinnati,USD
2025-03-21,-75.63,CoreLogic ****7980,CoreLogic,USD
2025-03-21,-198.68,Office Depot ****5514,Office Depot,USD
2025-03-23,28646.42,Check Payment,Check,USD
2025-03-24,20689.47,Square Payment,Square,USD
2025-03-24,-135.04,Vistaprint ****3776,Vistaprint,USD
2025-03-25,34250.73,Wire Transfer Payment,Wire Transfer,USD
2025-03-25,-254.17,Matterport ****7065,Matterport,USD
2025-03-25,-254.79,Matterport ****6024,Matterport,USD
2025-03-26,-80.97,Matterport ****1117,Matterport,USD
2025-03-26,-392.74,CoreLogic ****7522,CoreLogic,USD
2025-03-27,-66.87,Dotloop ****5310,Dotloop,USD
2025-03-27,-272.48,FedEx ****1941,FedEx,USD
2025-03-28,-145.48,Office Depot ****9783,Office Depot,USD
2025-03-29,-383.61,Dotloop ****7770,Dotloop,USD
2025-03-31,-1782.5,Google Ads ****2951,Google Ads,USD
2025-03-31,-1169.89,Facebook Ads ****3650,Facebook Ads,USD
2025-03-31,-467.08,Dotloop ****7564,Dotloop,USD
