date,amount,description,counterparty,currency
2025-05-01,-476.07,Coffee Bean Co ****4266,Coffee Bean Co,USD
2025-05-01,-102.79,Uber Eats ****6096,Uber Eats,USD
2025-05-02,3199.7,Stripe Payment,Stripe,USD
2025-05-02,-396.75,Toast POS ****6688,Toast POS,USD
2025-05-03,-320.13,Coffee Bean Co ****4908,Coffee Bean Co,USD
2025-05-03,-75.13,Square ****6934,Square,USD
2025-05-07,-278.71,Costco ****5494,Costco,USD
2025-05-08,-287.85,Coffee Bean Co ****3068,Coffee Bean Co,USD
2025-05-09,-130.26,Cincinnati Gas Electric ****4986,Cincinnati Gas Electric,USD
2025-05-12,3687.75,PayPal Payment,PayPal,USD
2025-05-13,-375.84,Cafe Equipment LLC ****5530,Cafe Equipment LLC,USD
2025-05-15,-82.31,Cafe Equipment LLC ****4155,Cafe Equipment LLC,USD
2025-05-16,-301.24,Amazon Business ****8753,Amazon Business,USD
2025-05-16,-196.42,Cafe Equipment LLC ****5952,Cafe Equipment LLC,USD
2025-05-17,1393.5,PayPal Payment,PayPal,USD
2025-05-17,-377.87,Java Imports ****4033,Java Imports,USD
2025-05-18,-240.53,Costco ****6023,Costco,USD
2025-05-21,2469.32,Wire Transfer Payment,Wire Transfer,USD
2025-05-22,-385.13,Clover ****8800,Clover,USD
2025-05-23,-65.67,Cafe Equipment LLC ****7658,Cafe Equipment LLC,USD
2025-05-24,-188.28,Clover ****6419,Clover,USD
2025-05-25,4301.66,Wire Transfer Payment,Wire Transfer,USD
2025-05-26,4755.92,PayPal Payment,PayPal,USD
2025-05-26,-490.74,Cincinnati Gas Electric ****4180,Cincinnati Gas Electric,USD
2025-05-27,-258.14,Costco ****1282,Costco,USD
2025-05-30,-488.89,Toast POS ****9595,Toast POS,USD
