date,amount,description,counterparty,currency
2025-06-01,-221.64,Spectrum ****4727,Spectrum,USD
2025-06-01,-6387.67,ADP ****3415,ADP,USD
2025-06-02,-4289.43,ADP ****2097,ADP,USD
2025-06-07,-155.82,Discount School Supply ****3356,Discount School Supply,USD
2025-06-07,-447.55,Cincinnati Water Works ****6431,Cincinnati Water Works,USD
2025-06-07,-359.7,Sam's Club ****5488,Sam's Club,USD
2025-06-09,-96.08,Cincinnati Water Works ****2641,Cincinnati Water Works,USD
2025-06-09,-6897.72,ADP ****5687,ADP,USD
2025-06-12,-376.95,Cincinnati Water Works ****9462,Cincinnati Water Works,USD
2025-06-14,-336.02,Cincinnati Water Works ****8750,Cincinnati Water Works,USD
2025-06-14,-34.61,Sam's Club ****5965,Sam's Club,USD
2025-06-15,-425.35,Sysco ****2609,Sysco,USD
2025-06-15,-208.62,School Specialty ****3669,School Specialty,USD
2025-06-16,15468.84,Check Payment,Check,USD
2025-06-17,-264.94,Duke Energy ****3029,Duke Energy,USD
2025-06-18,11215.16,Check Payment,Check,USD
2025-06-18,-395.75,Discount School Supply ****9589,Discount School Supply,USD
2025-06-20,16326.46,Square Payment,Square,USD
2025-06-24,-107.53,School Specialty ****4288,School Specialty,USD
2025-06-24,-191.14,Spectrum ****3679,Spectrum,USD
2025-06-25,-6404.06,ADP ****7581,ADP,USD
2025-06-25,-67.41,Paychex ****8237,Paychex,USD
2025-06-25,-109.35,Duke Energy ****8775,Duke Energy,USD
2025-06-27,-139.92,School Specialty ****9008,School Specialty,USD
2025-06-28,-48.41,Gordon Food Service ****8785,Gordon Food Service,USD
2025-06-30,-152.97,Sam's Club ****7828,Sam's Club,USD
