date,amount,description,counterparty,currency
2025-06-01,13138.82,Square Payment,Square,USD
2025-06-03,-63.22,Errors & Omissions ****8530,Errors & Omissions,USD
2025-06-07,15580.34,PayPal Payment,PayPal,USD
2025-06-08,-374.34,QuickBooks ****9010,QuickBooks,USD
2025-06-08,-227.45,Practice CS ****7586,Practice CS,USD
2025-06-08,-155.1,Thomson Reuters ****7801,Thomson Reuters,USD
2025-06-09,-307.61,LinkedIn ****4613,LinkedIn,USD
2025-06-10,-422.3,Errors & Omissions ****4493,Errors & Omissions,USD
2025-06-10,-400.75,Thomson Reuters ****7162,Thomson Reuters,USD
2025-06-11,-48.73,FedEx ****6035,FedEx,USD
2025-06-11,-200.72,Amazon Business ****3703,Amazon Business,USD
2025-06-12,-341.98,FedEx ****8509,FedEx,USD
2025-06-13,-333.17,Amazon Business ****1235,Amazon Business,USD
2025-06-16,-488.53,Thomson Reuters ****9943,Thomson Reuters,USD
2025-06-20,-464.7,Practice CS ****1666,Practice CS,USD
2025-06-26,-248.83,QuickBooks ****1750,QuickBooks,USD
2025-06-27,-95.75,Chamber of Commerce ****4817,Chamber of Commerce,USD
2025-06-30,-306.72,QuickBooks ****6496,QuickBooks,USD
2025-06-30,-32.42,CCH ****8978,CCH,USD
